"","Rank","Team","Points","ID"
"1","0","0","0",0
"2","Rank","School Name","Points",986
"3","1","University of Texas – Austin","544",986
"4","2","Stanford University","535",986
"5","3","University of Tennessee","533",986
"6","4","Princeton University","529",986
"7","5","Brown University","520",986
"8","6","University of California – Berkley","514",986
"9","7","Yale University","511",986
"10","8","University of Washington","496",986
"11","9","University of Michigan","491",986
"12","10","University of Pennsylvania","486",986
"13","11","Syracuse University","485",986
"14","12","Ohio State University","484",986
"15","13","Rutgers University","473",986
"16","14","Indiana University","470",986
"17","15","Duke University","468",986
"18","16","Harvard-Radcliffe","448",986
"19","17","University of Virginia","446",986
"20","18","University of Alabama","436",986
"21","18","Columbia University","436",986
"22","20","University of Miami","419",986
"23","21","Gonzaga University","414",986
"24","22","University of California – Los Angeles","404",986
"25","23","Washington State University","402",986
"26","24","University of Minnesota","398",986
"27","25","University of Central Florida","397",986
"28","26","Oregon State University","395",986
"29","27","Northeastern University","389",986
"30","28","University of Southern California","385",986
"31","29","University of Iowa","379",986
"32","29","Clemson University","379",986
"33","31","University of Notre Dame","378",986
"34","32","Boston University","367",986
"35","33","Dartmouth College","354",986
"36","34","Massachusetts Institute of Technology","337",986
"37","35","University of Wisconsin","331",986
"38","36","University of Rhode Island","330",986
"39","37","Southern Methodist University","319",986
"40","38","University of Tulsa","316",986
"41","39","University of Oklahoma","312",986
"42","40","Michigan State University","306",986
"43","41","University of Louisville","296",986
"44","41","University of Kansas","296",986
"45","43","Boston College","294",986
"46","44","George Washington University","292",986
"47","45","United States Naval Academy","288",986
"48","46","University of California – San Diego","287",986
"49","47","University of North Carolina at Chapel Hill","281",986
"50","48","Kansas State University","259",986
"51","48","University of San Diego","259",986
"52","50","Jacksonville University","251",986
"53","51","University of Massachusetts – Amherst","249",986
"54","52","Georgetown University","248",986
"55","53","California State University – Sacramento","240",986
"56","54","Cornell University","236",986
"57","55","College of the Holy Cross","233",986
"58","56","Bucknell University","225",986
"59","57","Sacred Heart University","202",986
"60","58","Fordham University","195",986
"61","59","Temple University","193",986
"62","60","Saint Joseph's University","187",986
"63","60","Drexel University","187",986
"64","62","Loyola Marymount University","177",986
